Block name,block type,auto_up,mirror,target point x,target point y,target point z,intrim,outtrim,sidetrim,short name,Service,is_elevation,colour,independent value
PP-YTEE,Ytee,,NO,-591.59,2364.3,0,151.51,63.94,149.32,Y,drainage,,blue,YES
PP-SWEPTTEE,Swept tee,,NO,-662.94,2135.58,0,80.16,135.3,119.76,ST,drainage,,blue,YES
PP-SHOE,Shoe,,NO,-617.01,13647.83,0,75.67,69.13,,S,drainage,,blue,YES
PP-DOUBLE SHOE,Double Shoe,,NO,-650.52,13216.6,0,171.29,177.82,,DS,drainage,,blue,YES
PP-BEND 90,Bend(90),,NO,-649.98,12918.21,0,93.96,99.55,,B,drainage,,blue,YES
PP-SINGLE TEE,Single tee,,NO,-591.27,1184.23,0,107.73,107.73,107.73,T,drainage,,blue,YES
PP-DOUBLE Y TEE,Double Y tee,,NO,-527.05,925.14,0,151.51,63.94,,DYT,drainage,,blue,YES
PP-CROSS TEE,Cross tee,,NO,-552.14,630,0,107.73,107.73,107.73,CT,drainage,,blue,YES
PP-TEEUP,Tee up,,NO,-629.89,4145.49,0,0,0,,TUP,drainage,,blue,YES
PP-YTEE UP,Ytee up,,NO,-636.47,4487.63,0,0,0,,YTUP,drainage,,blue,YES
PP-P TRAP,P-trap,,NO,-608.45,11535.19,0,52.33,91.57,,P.T.,trap,,blue,YES
PP-S TRAP,S-trap,,NO,-608.76,11179.15,0,52.33,91.57,,S.T.,trap,,blue,YES
PP-Q TRAP,Q-trap,,NO,-608.76,10856.26,0,52.33,91.57,,Q.T.,trap,,blue,YES
PP-MULTI TRAP,Multi trap,,NO,-567.03,-148.35,0,67.1,91.5,,M.T.,trap,,blue,YES
PP-NAHANI TRAP,Nahani trap,,NO,-594.11,10151.77,0,52.33,91.57,,N.T.,trap,,blue,YES
PP-WB W TOP,wb wall top,,NO,0,0,0,0,0,,,drainage,,blue,YES
PP-UR W TOP,ur wall top,,NO,0,0,0,0,0,,,drainage,,blue,YES
PP-SINKW TOP,sink wall top,,NO,0,0,0,0,0,,,drainage,,blue,YES
PP-SHOWER BEND,Shower bend,,NO,0,0,0,52.33,91.57,,S.Bend,trap,,blue,YES
PP-BT,bottle trap,,NO,-572.96,3388.67,0,0,0,,B.T.,trap,,blue,YES
PP-URBACK,urinal back,,NO,-572.96,3070.02,0,0,0,,URB,drainage,,blue,YES
PP-WC CONNECTOR BEND,WC connector bend,,NO,-101.14,0,0,0,101.25,,WCB,drainage,,blue,YES
PP-COP CEILING,COP Ceiling,,NO,-541.94,-636.88,0,24.19,24.19,,COP,drainage,,blue,YES
